Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
46П.docx,7.32,1,9.76,14.63,14.63,7.32,17.07,8.54,20.73,8.54,7.32,0,муж.,9,0.625,4.1180555556,0.8222222222,604.9382716049
47Л.docx,7.02,1,6.14,10.09,17.11,11.4,19.74,11.4,19.3,2.64,7.02,1,муж.,11.5217391304,0.6,4.2867924528,0.7987421384,501.5624381947
47П.docx,3.65,1,8.85,8.85,10.42,7.29,17.19,9.38,27.08,4.69,5.73,0,муж.,11.5217391304,0.6,4.2867924528,0.7987421384,501.5624381947
48Л.docx,6.43,1,8.57,9.29,10.71,10.71,18.57,10,20,5.71,6.43,1,жен.,12.7692307692,0.5662650602,4.5963855422,0.7021276596,674.513354459
48П.docx,7.41,1,3.7,8.33,14.81,10.19,16.67,10.19,21.3,3.7,7.41,0,жен.,12.7692307692,0.5662650602,4.5963855422,0.7021276596,674.513354459
49Л.docx,3.4,1,12.2,23.9,12.2,11.71,18.54,8.78,17.56,11.17,3.5,1,муж.,15,0.5458333333,4.3666666667,0.7633587786,739.4673970048
49П.docx,3.85,1,14.23,25.38,11.92,10.77,16.92,8.46,15.77,11.92,4.31,0,муж.,15,0.5458333333,4.3666666667,0.7633587786,739.4673970048
4Л.docx,0,1,8.89,11.11,17.78,0,4.44,0,24.44,8.89,0,1,муж.,8,0.6964285714,4.125,0.8461538462,650.8875739645
4П.docx,1.75,1,9.65,18.42,15.79,9.65,23.68,8.77,24.56,7.02,1.79,0,муж.,8,0.6964285714,4.125,0.8461538462,650.8875739645
50Л.docx,5.8,1,0,8.7,20.29,5.8,15.94,11.59,26.09,0,5.8,1,муж.,8.7,0.6781609195,4.3448275862,0.8474576271,603.2749209997
50П.docx,2.2,1,0,9.89,21.98,3.3,16.48,7.69,23.08,1.1,2.2,0,муж.,8.7,0.6781609195,4.3448275862,0.8474576271,603.2749209997
51Л.docx,2.54,1,8.47,22.03,11.02,6.78,16.1,8.47,17.8,4.24,3.42,1,муж.,15.1111111111,0.7426470588,4.6764705882,0.8316831683,200.9606901284
51П.docx,2.7,1,5.41,17.57,12.16,8.11,16.22,6.08,20.95,4.73,2.04,0,муж.,15.1111111111,0.7426470588,4.6764705882,0.8316831683,200.9606901284
52Л.docx,4.15,1,15.67,20.28,15.67,8.29,17.05,11.98,16.13,8.29,4.15,1,жен.,13.2631578947,0.5793650794,3.9523809524,0.7876712329,509.4764496153
52П.docx,4.91,1,9.43,12.83,15.85,9.06,18.11,9.81,15.85,7.55,4.91,0,жен.,13.2631578947,0.5793650794,3.9523809524,0.7876712329,509.4764496153
53Л.docx,3.36,1,2.68,14.77,13.42,8.72,16.78,8.72,24.16,4.7,3.38,1,жен.,13.0714285714,0.6229508197,4.5355191257,0.8421052632,630.1939058172
